playerName,saves,penaltiesSaved,punches,highClaims,catches,sweeperClearances,throwOuts,goalKicks,cleanSheets,goalsConceded,errorsLeadingToGoal,ownGoals,yellowCards,redCards,fouls,goals,assists,passes,passesPerMatch,accurateLongBalls,tackles,tackleSuccess,lastManTackles,blockedShots,interceptions,clearances,headedClearance,clearancesOffLine,recoveries,duelsWon,duelsLost,successful5050s,aerialBattlesWon,aerialBattlesLost,bigChancesCreated,crosses,crossAccuracy,throughBalls,goalsPerMatch,headedGoals,goalsWithRightFoot,goalsWithLeftFoot,penaltiesScored,freekicksScored,shots,shotsOnTarget,shootingAccuracy,hitWoodwork,bigChancesMissed,offsides
Elijah  Adebayo ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,10,0,197,7.3,0,4,0,0,7,6,25,24,0,0,0,0,0,0,0,0,5,0,0,0.37,4,5,1,0,0,31,14,45%,2,4,13
Chiedozie  Ogbene ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,4,1,627,20.9,0,17,0,0,17,7,31,17,0,0,0,0,0,0,0,5,79,0,0,0.13,1,3,0,0,0,35,14,40%,1,1,8
Jacob  Brown ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,2,0,229,12.05,0,19,0,0,10,8,17,12,0,0,0,0,0,0,0,1,10,0,0,0.11,0,1,1,0,0,26,7,27%,2,3,6
Taylan  Harris ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0
Stefan  Ortega ,34,0,2,7,0,0,40,31,3,8,0,0,0,0,0,0,0,393,32.75,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Ederson ,413,3,61,114,24,0,"1,143","1,045",112,190,7,0,20,1,9,0,3,"6,872",27.49,"1,068",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott  Carson ,435,4,66,161,164,0,495,"1,387",30,225,10,1,6,1,4,0,2,"2,732",18.71,832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
True  Grant ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle  Walker ,0,0,0,0,0,0,0,0,130,352,6,2,52,1,309,8,36,"22,704",57.48,"1,209",692,74%,5,69,571,913,403,4,"2,077","1,810","1,358",303,540,347,37,906,18%,42,0,0,7,1,0,0,0,0,0,3,0,31
Rúben  Dias ,0,0,0,0,0,0,0,0,43,83,0,2,12,0,90,3,4,"9,660",82.56,360,110,59%,1,17,106,284,137,3,450,380,290,16,204,146,6,19,32%,5,0,2,0,1,0,0,0,0,0,1,0,3
John  Stones ,0,0,0,0,0,0,0,0,74,204,8,1,11,1,69,9,2,"13,920",58.73,786,228,70%,5,18,238,735,416,4,"1,006",896,422,121,461,225,7,33,15%,3,0,3,3,3,0,0,0,0,0,2,0,5
Nathan  Aké ,0,0,0,0,0,0,0,0,49,271,0,0,21,1,136,18,8,"10,656",47.36,340,332,61%,3,31,257,899,497,5,921,924,586,37,455,354,15,89,16%,6,0,11,1,6,0,0,0,0,0,7,0,8
Manuel  Akanji ,0,0,0,0,0,0,0,0,17,46,1,0,4,1,41,2,1,"4,317",73.17,148,78,68%,1,9,39,91,47,1,278,167,149,8,52,64,0,15,20%,4,0,1,0,0,0,0,0,0,0,0,0,0
Rico  Lewis ,0,0,0,0,0,0,0,0,1,17,0,0,2,0,17,2,0,"1,171",39.03,15,26,62%,0,1,10,15,5,0,85,76,69,12,0,12,6,6,50%,2,0,0,2,0,0,0,0,0,0,0,0,0
Josh  Wilson-Esbrand ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Josko  Gvardiol ,0,0,0,0,0,0,0,0,9,23,1,0,3,0,20,4,1,"1,732",61.86,41,55,60%,0,6,27,26,13,0,150,134,89,26,31,24,2,33,12%,3,0,1,3,0,0,0,0,0,0,0,0,2
Max  Alleyne ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Jack  Grealish ,0,0,0,0,0,0,0,0,0,0,1,0,29,0,135,26,27,"5,505",32.38,177,132,66%,0,98,77,38,15,0,630,"1,008",704,288,86,119,46,375,23%,15,0.15,2,18,6,0,0,260,88,34%,6,18,23
 Rodri ,0,0,0,0,0,0,0,0,0,0,4,0,32,1,218,22,21,"14,839",86.27,918,331,60%,0,59,149,210,131,0,"1,341",953,680,138,349,151,21,49,22%,25,0.13,5,13,4,1,0,213,67,31%,4,8,11
Kevin  De Bruyne ,0,0,0,0,0,0,0,0,0,0,1,0,20,0,199,68,112,"13,113",50.43,673,317,63%,0,182,116,96,58,0,"1,130",988,"1,169",340,99,148,184,"1,792",26%,203,0.26,1,45,22,4,4,630,224,36%,29,24,27
Bernardo  Silva ,0,0,0,0,0,0,0,0,0,0,0,0,32,0,163,39,42,"10,517",45.14,343,293,56%,0,87,129,84,25,0,859,790,899,278,56,133,56,440,18%,25,0.17,2,4,33,0,0,273,109,40%,7,29,20
Sergio  Gómez ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,336,18.67,5,10,40%,0,2,3,8,3,0,20,17,24,2,3,11,1,12,25%,1,0,0,0,0,0,0,9,0,0%,1,0,1
Phil  Foden ,0,0,0,0,0,0,0,0,0,0,0,0,4,0,68,54,26,"5,164",31.49,114,107,62%,0,93,50,44,20,0,423,530,543,198,58,125,36,423,25%,35,0.33,2,11,41,0,2,301,133,44%,9,25,29
Mateo  Kovacic ,0,0,0,0,0,0,0,0,0,0,0,0,31,0,114,5,13,"9,124",53.05,335,277,63%,0,60,81,78,31,0,721,722,522,249,49,57,22,34,15%,51,0.03,0,5,0,0,0,139,26,19%,1,6,0
James  McAtee ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,3,3,502,15.21,7,32,66%,0,8,11,15,4,0,97,106,161,34,13,31,4,36,25%,6,0.09,0,1,2,1,0,27,9,33%,0,2,1
Oscar  Bobb ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,168,12,0,7,43%,0,1,5,1,0,0,17,22,17,11,1,2,2,5,60%,3,0.07,0,1,0,0,0,4,2,50%,0,1,0
Matheus  Nunes ,0,0,0,0,0,0,0,0,0,0,2,0,2,2,46,1,3,"1,496",28.23,85,80,60%,0,12,23,41,21,0,194,245,232,64,29,39,4,65,25%,7,0.02,0,1,0,0,0,38,13,34%,2,5,7
Micah  Hamilton ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0
Mahamadou  Susoho ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0
Jacob  Wright ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0
Erling  Haaland ,0,0,0,0,0,0,0,0,0,0,0,0,6,0,49,63,13,861,13.05,0,9,0,0,39,5,30,24,0,0,0,0,0,0,0,17,17,0,0,0.95,11,8,43,14,0,244,119,49%,7,62,14
Julián  Álvarez ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,44,20,9,"1,579",23.57,0,50,0,0,36,4,18,10,0,0,0,0,0,0,0,9,163,0,0,0.3,1,16,3,3,1,145,62,43%,3,14,5
Jérémy  Doku ,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,3,8,786,27.1,0,39,0,0,22,9,2,1,0,0,0,0,0,0,0,5,61,0,0,0.1,0,3,0,0,0,55,19,35%,2,1,5
Tom  Heaton ,408,3,39,96,72,0,436,"1,023",28,167,3,2,5,0,2,0,0,"3,290",28.36,"1,067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
André  Onana ,149,0,13,37,5,0,140,162,9,58,1,0,5,0,1,0,0,"1,373",36.13,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altay  Bayindir ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Victor  Lindelöf ,0,0,0,0,0,0,0,0,47,195,2,2,15,0,119,4,5,"9,382",52.71,347,161,63%,1,6,151,594,302,0,921,586,410,24,353,232,7,7,0%,12,0,1,2,1,0,0,0,0,0,0,0,6
Harry  Maguire ,0,0,0,0,0,0,0,0,60,305,3,1,51,2,205,13,10,"12,694",52.67,"1,022",285,67%,5,43,359,983,619,1,"1,340","1,367",688,121,796,313,11,43,16%,6,0,8,4,1,0,0,0,0,0,7,0,25
Lisandro  Martínez ,0,0,0,0,0,0,0,0,8,45,0,1,9,0,27,1,1,"1,960",51.58,78,66,55%,0,3,38,120,54,1,197,131,95,16,36,36,0,2,0%,8,0,1,0,0,0,0,0,0,0,1,0,0
Tyrell  Malacia ,0,0,0,0,0,0,0,0,6,14,0,0,6,0,39,0,0,668,30.36,19,46,72%,0,2,25,44,13,0,90,73,74,6,8,4,1,15,20%,0,0,0,0,0,0,0,0,0,0,1,0,3
Raphaël  Varane ,0,0,0,0,0,0,0,0,16,67,0,1,3,0,25,2,1,"3,024",44.47,163,70,56%,1,7,44,253,149,0,245,210,101,9,119,41,1,2,0%,3,0,1,1,0,0,0,0,0,0,0,0,4
Diogo  Dalot ,0,0,0,0,0,0,0,0,22,137,0,0,17,1,97,3,7,"4,116",38.83,228,217,68%,0,26,115,235,119,6,556,445,297,80,125,67,11,235,29%,6,0,0,3,0,0,0,0,0,0,5,0,5
Luke  Shaw ,0,0,0,0,0,0,0,0,69,243,2,1,59,1,272,3,17,"11,479",45.73,304,405,70%,3,38,236,609,300,0,"1,208","1,201",981,223,377,279,34,841,25%,16,0,0,1,2,0,0,0,0,0,2,0,14
Aaron  Wan-Bissaka ,0,0,0,0,0,0,0,0,51,204,0,0,24,1,120,2,13,"7,298",42.43,146,506,65%,3,20,324,403,183,2,898,981,636,232,167,180,13,302,19%,5,0,0,2,0,0,0,0,0,0,0,0,5
Jonny  Evans ,0,0,0,0,0,0,0,0,96,403,4,6,57,3,298,14,13,"17,710",46.73,"1,239",541,69%,3,22,692,"2,120",922,5,"2,012","1,760","1,005",100,844,485,9,62,32%,12,0,9,5,0,0,0,0,0,0,3,0,5
Habeeb  Ogunneye ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry  Amass ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Louis  Jackson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno  Fernandes ,0,0,0,0,0,0,0,0,0,0,1,0,33,0,168,54,41,"8,555",53.81,573,269,56%,0,127,106,165,87,0,831,640,858,115,78,154,91,753,24%,107,0.34,3,46,5,19,1,441,174,39%,17,32,36
Christian  Eriksen ,0,0,0,0,0,0,0,0,0,0,1,0,22,0,124,54,76,"14,397",50.16,700,331,71%,0,224,182,159,65,0,"1,494",787,"1,200",199,122,214,87,"1,431",23%,133,0.19,1,30,22,0,8,658,238,36%,18,25,11
 Casemiro ,0,0,0,0,0,0,0,0,0,0,1,0,14,2,78,5,5,"2,818",53.17,174,171,60%,0,17,52,126,85,0,338,321,277,18,98,53,9,32,22%,16,0.09,2,3,0,0,0,73,20,27%,1,6,7
Scott  McTominay ,0,0,0,0,0,0,0,0,0,0,2,0,28,0,215,19,4,"5,460",31.02,253,261,54%,0,52,149,263,175,0,745,854,702,120,280,201,10,54,19%,10,0.11,5,10,4,0,0,156,57,37%,1,13,9
Kobbie  Mainoo ,0,0,0,0,0,0,0,0,0,0,1,0,3,0,15,3,1,870,34.8,21,47,57%,0,3,22,27,15,0,96,120,110,31,19,26,0,6,17%,8,0.12,0,3,0,0,0,11,5,45%,0,0,0
Mason  Mount ,0,0,0,0,0,0,0,0,0,0,0,0,15,0,155,28,22,"4,966",34.73,135,208,49%,0,88,74,50,21,0,527,522,688,121,52,139,34,537,29%,23,0.2,0,24,4,2,2,274,95,35%,10,16,14
Toby  Collyer ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0%,0,0,0
Omari  Forson ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,33,8.25,0,2,0%,0,1,0,0,0,0,2,3,4,1,0,2,1,0,0%,0,0,0,0,0,0,0,1,0,0%,0,0,0
Sofyan  Amrabat ,0,0,0,0,0,0,0,0,0,0,1,0,6,0,24,0,0,645,30.71,35,27,59%,0,1,8,19,9,0,60,48,56,6,5,6,0,7,14%,0,0,0,0,0,0,0,3,0,0%,1,0,0
Anthony  Martial ,0,0,0,0,0,0,0,0,0,0,0,0,8,1,151,63,28,"4,701",22.49,0,88,0,0,88,31,72,41,0,0,0,0,0,0,0,41,214,0,0,0.3,6,45,12,3,0,348,163,47%,5,44,76
Marcus  Rashford ,0,0,0,0,0,0,0,0,0,0,0,0,22,1,155,83,39,"5,970",21.95,0,137,0,0,150,59,116,67,0,0,0,0,0,0,0,46,375,0,0,0.31,7,65,11,8,1,571,250,44%,14,81,121
 Antony ,0,0,0,0,0,0,0,0,0,0,0,0,10,0,34,5,3,"1,335",24.72,0,62,0,0,38,23,10,5,0,0,0,0,0,0,0,9,48,0,0,0.09,0,0,5,0,0,115,40,35%,5,8,4
Alejandro  Garnacho ,0,0,0,0,0,0,0,0,0,0,0,0,7,0,29,10,6,"1,022",17.93,0,27,0,0,47,23,14,3,0,0,0,0,0,0,0,8,60,0,0,0.18,1,5,4,0,0,124,38,31%,3,11,18
Amad  Diallo ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,2,230,19.17,0,13,0,0,3,1,7,3,0,0,0,0,0,0,0,2,1,0,0,0.08,0,0,1,0,0,11,5,45%,0,0,0
Shola  Shoretire ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0
Rasmus  Højlund ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,10,2,391,13.03,0,11,0,0,5,1,19,12,0,0,0,0,0,0,0,0,6,0,0,0.33,0,4,5,0,0,38,21,55%,0,13,15
Ethan  Wheatley ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0
Martin  Dúbravka ,477,2,60,119,29,0,603,"1,298",41,214,10,0,3,0,2,0,0,"3,988",26.24,"1,028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loris  Karius ,55,1,15,15,7,0,149,159,13,30,2,0,1,0,2,0,0,820,27.33,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick  Pope ,599,4,85,210,29,0,901,"1,437",65,217,7,0,10,1,4,0,0,"4,843",25.09,"1,434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark  Gillespie ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aidan  Harris ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam  Harrison ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran  Trippier ,0,0,0,0,0,0,0,0,47,183,5,2,17,0,144,6,35,"9,079",50.72,626,368,64%,1,21,220,414,238,5,"1,088",847,644,85,245,179,67,"1,344",30%,27,0,0,5,1,0,0,0,0,0,4,0,22
Paul  Dummett ,0,0,0,0,0,0,0,0,30,173,2,2,16,1,71,3,0,"4,406",29.18,262,240,72%,1,10,196,683,391,1,436,669,403,24,350,232,4,215,20%,1,0,1,0,2,0,0,0,0,0,1,0,1
Sven  Botman ,0,0,0,0,0,0,0,0,14,59,3,1,4,0,24,2,2,"2,769",52.25,146,58,64%,2,8,43,178,68,1,252,182,98,1,111,57,3,1,100%,0,0,2,0,0,0,0,0,0,0,1,0,3
Fabian  Schär ,0,0,0,0,0,0,0,0,39,199,3,1,37,1,161,14,7,"7,243",44.99,759,217,56%,1,38,261,623,289,6,826,737,634,60,342,294,10,68,16%,19,0,3,9,2,0,0,0,0,0,2,0,13
Jamaal  Lascelles ,0,0,0,0,0,0,0,0,38,216,4,2,32,1,122,10,1,"5,794",33.11,326,133,54%,6,13,162,899,510,6,751,733,429,19,525,252,2,9,0%,2,0,10,0,0,0,0,0,0,0,2,0,4
Matt  Targett ,0,0,0,0,0,0,0,0,35,189,1,1,19,0,102,3,9,"5,426",33.49,325,294,59%,0,14,236,317,152,3,667,655,507,48,216,167,22,553,25%,13,0,1,0,2,0,0,0,0,0,1,0,3
Emil  Krafth ,0,0,0,0,0,0,0,0,11,85,1,0,11,0,48,1,2,"1,884",26.54,47,95,53%,1,7,57,153,77,0,242,208,185,12,69,72,5,76,20%,0,0,1,0,0,0,0,0,0,0,1,0,1
Harrison  Ashby ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,1,0,0%,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan  Burn ,0,0,0,0,0,0,0,0,43,193,0,1,28,0,166,5,3,"7,032",41.36,219,282,59%,1,24,193,640,394,5,701,910,656,46,546,249,11,117,21%,4,0,3,1,1,0,0,0,0,0,2,0,23
Alex  Murphy ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,8.5,0,1,100%,0,0,1,0,0,0,2,1,3,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0
Tino  Livramento ,0,0,0,0,0,0,0,0,7,69,0,0,3,0,15,2,1,"1,600",28.57,40,79,53%,0,5,74,87,42,1,265,230,148,49,36,34,5,88,19%,2,0,1,1,0,0,0,0,0,0,2,0,2
Lewis  Hall ,0,0,0,0,0,0,0,0,0,23,0,0,3,0,8,1,0,823,30.48,51,51,59%,0,8,23,27,13,0,104,104,82,20,17,16,5,57,28%,0,0,0,0,1,0,0,0,0,0,0,0,1
Matt  Ritchie ,0,0,0,0,0,0,0,0,0,0,1,0,32,0,186,12,24,"5,177",28.14,291,231,66%,0,87,177,242,120,0,778,614,769,71,140,249,34,971,25%,16,0.07,1,2,9,1,0,233,57,24%,5,8,9
